840
  79.891  -36.938 4 0
   0.000  -90.000 4 0
  90.000  -82.071 4 0
  90.000  -74.141 4 0
  90.000  -66.212 4 0
  90.000  -58.282 4 0
  90.000  -50.353 4 0
  90.000  -42.424 4 0
  90.000  -34.494 4 0
  99.454  -36.722 4 0
 100.739  -44.755 4 0
 109.458  -38.336 4 0
 102.726  -52.839 4 0
 112.386  -46.353 4 0
 119.905  -39.231 4 0
 105.972  -60.937 4 0
 116.948  -54.340 4 0
 124.747  -47.031 4 0
 130.616  -39.323 4 0
 111.877  -68.950 4 0
 124.444  -62.098 4 0
 132.186  -54.537 4 0
 137.453  -46.639 4 0
 141.359  -38.561 4 0
 124.914  -76.546 4 0
 137.721  -69.133 4 0
 143.877  -61.257 4 0
 147.535  -53.215 4 0
 150.025  -45.096 4 0
 151.891  -36.938 4 0
 162.000  -82.071 4 0
 162.000  -74.141 4 0
 162.000  -66.212 4 0
 162.000  -58.282 4 0
 162.000  -50.353 4 0
 162.000  -42.424 4 0
 162.000  -34.494 4 0
 171.454  -36.722 4 0
 172.739  -44.755 4 0
 181.458  -38.336 4 0
 174.726  -52.839 4 0
 184.386  -46.353 4 0
 191.905  -39.231 4 0
 177.972  -60.937 4 0
 188.948  -54.340 4 0
 196.747  -47.031 4 0
 202.616  -39.323 4 0
 183.877  -68.950 4 0
 196.444  -62.098 4 0
 204.186  -54.537 4 0
 209.453  -46.639 4 0
 213.359  -38.561 4 0
 196.914  -76.546 4 0
 209.721  -69.133 4 0
 215.877  -61.257 4 0
 219.535  -53.215 4 0
 222.025  -45.096 4 0
 223.891  -36.938 4 0
 234.000  -82.071 4 0
 234.000  -74.141 4 0
 234.000  -66.212 4 0
 234.000  -58.282 4 0
 234.000  -50.353 4 0
 234.000  -42.424 4 0
 234.000  -34.494 4 0
 243.454  -36.722 4 0
 244.739  -44.755 4 0
 253.458  -38.336 4 0
 246.726  -52.839 4 0
 256.386  -46.353 4 0
 263.905  -39.231 4 0
 249.972  -60.937 4 0
 260.948  -54.340 4 0
 268.747  -47.031 4 0
 274.616  -39.323 4 0
 255.877  -68.950 4 0
 268.444  -62.098 4 0
 276.186  -54.537 4 0
 281.453  -46.639 4 0
 285.359  -38.561 4 0
 268.914  -76.546 4 0
 281.721  -69.133 4 0
 287.877  -61.257 4 0
 291.534  -53.215 4 0
 294.025  -45.096 4 0
 295.891  -36.938 4 0
 306.000  -82.071 4 0
 306.000  -74.141 4 0
 306.000  -66.212 4 0
 306.000  -58.282 4 0
 306.000  -50.353 4 0
 306.000  -42.424 4 0
 306.000  -34.494 4 0
 315.454  -36.722 4 0
 316.739  -44.755 4 0
 325.458  -38.336 4 0
 318.726  -52.839 4 0
 328.386  -46.353 4 0
 335.905  -39.231 4 0
 321.972  -60.937 4 0
 332.948  -54.340 4 0
 340.747  -47.031 4 0
 346.616  -39.323 4 0
 327.877  -68.950 4 0
 340.444  -62.098 4 0
 348.186  -54.537 4 0
 353.453  -46.639 4 0
 357.359  -38.561 4 0
 340.914  -76.546 4 0
 353.721  -69.133 4 0
 359.877  -61.257 4 0
   3.535  -53.215 4 0
   6.025  -45.096 4 0
   7.891  -36.938 4 0
 208.399   68.424 5 1
 259.601   68.424 5 1
 206.874   64.438 5 1
 217.049   66.010 5 1
 228.223   66.835 5 1
 239.777   66.835 5 1
 250.951   66.010 5 1
 261.126   64.438 5 1
 270.000   62.247 5 1
 205.772   60.425 5 1
 224.019   63.084 5 1
 243.981   63.084 5 1
 262.228   60.425 5 1
 204.943   56.392 5 1
 212.596   58.036 5 1
 220.869   59.182 5 1
 229.572   59.771 5 1
 238.428   59.771 5 1
 247.131   59.182 5 1
 255.404   58.036 5 1
 263.057   56.392 5 1
 270.000   54.318 5 1
 218.445   55.167 5 1
 234.000   56.162 5 1
